"dates","PT","NL","IT","IE","GR","GB","FR","ES","DE","BE"
2007-04-20,0.419913320652903,0.0114019411176687,-0.0517647973914999,-0.520184987554767,0.0422577127364258,0.0496870942650261,0.230242534920599,NA,0.167888225325236,0.0625911236986525
2007-04-23,0.435476028661158,0.0178495553731133,-0.0445115810229507,-0.529136264084211,-0.134421236224026,0.0268766209056011,0.240396093362139,NA,0.175239753944885,0.128745059658542
2007-04-24,0.447603385542281,0.00626049730746973,-0.0281551364480734,-0.49358352816749,-0.0322748612183952,0.0565146281858265,0.243246607077492,NA,0.137574099617425,0.146341931910647
2007-04-25,0.531022803510669,0.139663184785312,0.272061180296913,-0.517355140421805,-0.175411603861406,0.0906295299590784,0.272227587480392,NA,0.2157308182917,0.176042433174205
2007-04-26,0.548136734593459,0.0307599293698148,0.266525663384315,-0.448082159624114,-0.0800640769025437,0.0390805384835847,0.367972153641198,NA,0.2157308182917,0.123360459660305
2007-04-27,0.539422825120526,0.0363882878380091,0.259063617546302,-0.432621923968745,-3.20493781063927e-17,0.0765389798696157,0.290385768574173,NA,0.263204414482973,0.110119457633242
2007-04-30,0.464150064844078,0.0264003041332554,0.24371501704789,-0.258583014226758,-0.866025403784439,0.078611574889793,0.308653481373028,NA,0.263244324410861,0.122604490169606
2007-05-02,0.472152683570208,-0.0242897002226108,0.258431171962518,-0.350556881815969,-0.866025403784439,-0.0111118732684746,0.29144614490507,NA,0.270180484276386,0.146408794666149
2007-05-03,0.462760550184823,-0.103325488547744,0.272187219145291,-0.379826453416591,-0.866025403784439,-0.0455867727848732,0.287271320260075,NA,0.296179260444993,0.171829355087103
2007-05-04,0.425025934714064,-0.109284619055406,0.181427322807934,-0.381332884800903,-0.866025403784439,0.00771455843939011,0.267233439874077,NA,0.296892968942364,0.127922467715925
2007-05-07,0.425667582234133,-0.140630912955205,0.108699547100275,-0.342802182394828,-0.816496580927726,0.0148502206016656,0.266998695880995,NA,0.280013611511502,0.132375581268865
2007-05-08,0.34942383787265,-0.152329970424414,0.103843882565829,-0.370694246637713,-1,-0.00666131111513235,0.198945008859856,NA,0.2644839868912,0.0661733211842711
2007-05-09,0.357240224928017,-0.128505881063436,-0.00148276163627822,-0.463342705077748,-1,-0.0715841435394463,0.185961637727599,NA,0.272488947030984,0.066173321184271
2007-05-10,0.414581351840601,-0.122996612521038,0.0360651845301023,-0.443776023772223,-1,-0.0795078563093646,0.0992638687512022,NA,0.265538866148581,0.117105681389711
2007-05-11,0.417504742813431,-0.134353201931099,0.0617665902399465,-0.470083596318968,-1,-0.0804312969167228,0.0676174935938929,NA,0.265773687658806,0.106838988789952
2007-05-14,0.451596131701785,-0.131594860297561,0.119036798105652,-0.404003470171103,-1,-0.0938379602670262,0.0953760747890547,NA,0.305259401248105,0.0414581607637984
2007-05-15,0.39405413244929,-0.126547053304391,0.126885156229786,-0.346106692194454,-1,-0.146652665670075,0.0925309006581894,NA,0.288963956936829,0.0209278614718111
2007-05-16,0.401662731223683,-0.137330497203395,0.14908680494507,-0.367173889614061,-1,-0.212095364482013,0.0946186963501938,NA,0.29578162313652,-0.0258537904397001
